@relation i2p

@attribute avg_payload_len numeric
@attribute max_payload_len numeric
@attribute fragment_ratio numeric
@attribute entopy_len numeric
@attribute variance numeric
@attribute seq_exist numeric
@attribute isI2P {yes,no}

@data
1056,1440,0.571429,1.607237,822.215418,0,yes
1056,1056,1,0.992267,798.260967,0,yes
594,1408,0,1.918296,545.809013,1,yes
594,1448,0,2.245099,534.61575,1,yes
594,1448,0,2.409267,526.722175,1,yes
592,1448,0,2.409267,525.105704,1,yes
1060.976408,2896,0.370246,1.880766,765.607558,1,yes
864,2896,0,2.324409,884.90611,1,yes
1078.18705,3168,0.847122,1.50486,778.154232,1,yes
1016.170213,1448,0.797872,1.641876,740.538827,1,yes
1090.704698,2896,0.599413,1.904384,772.187908,1,yes
588,1448,0,2.170951,532.924405,1,yes
1009.011494,1448,0.770115,1.714129,731.987344,1,yes
1079.281159,2144,0.904348,1.369676,779.169535,1,yes
978.666667,1056,0.875,1.424198,719.977497,1,yes
1036.892086,1448,0.676259,1.800776,762.097809,1,yes
588,1448,0,2.324409,526.065977,1,yes
1039.616,1440,0.82,1.545833,733.655297,1,yes
1172.871508,2896,0.687151,1.84644,882.767619,1,yes
588,1440,0,2.139836,529.072144,1,yes
1034.114943,2896,0.804598,1.704116,726.91051,1,yes
598,1448,0,2.324409,534.269815,1,yes
1036.734694,2880,0.806122,1.652949,746.892734,1,yes
512,1448,0,1.94987,471.880756,1,yes
588,1440,0,2.070951,532.336261,1,yes
596,1402,0,2.324409,528.981708,1,yes
1164.760231,4920,0.551961,1.947787,868.209718,1,yes
502.4,1460,0,2.503998,469.576279,1,yes
502.4,1448,0,2.660964,464.950026,1,yes
622,1448,0,2.5,546.964472,1,yes
691.2,1448,0,2.322179,603.486808,1,yes
612,1460,0,2.324409,547.727713,1,yes
588,1448,0,2.170951,532.924405,1,yes
588,1448,0,2.170951,532.924405,1,yes
1036.030075,1460,0.864662,1.484895,747.917847,1,yes
1047.211499,2144,0.850103,1.499757,752.956389,1,yes
502.4,1452,0,2.580234,467.217602,1,yes
592,1460,0,2.409267,526.195781,1,yes
688,1460,0,2.460964,592.901163,1,yes
590,1448,0,2.324409,527.658089,1,yes
596,1440,0,2.070951,539.026803,1,yes
1105.85209,2896,0.70418,1.795895,800.749422,1,yes
1256.314607,2896,0.294944,2.200272,890.311706,1,yes
549.333333,1448,0,2.343767,501.413469,1,yes
598,1448,0,2.245099,538.008468,1,yes
1001.382716,1428,0.728395,1.801169,717.662891,1,yes
1060.382334,2144,0.668425,1.726275,755.753905,1,yes
968.930233,1448,0.72093,1.838921,720.113248,1,yes
1003.52,1448,0.62,2.022064,743.873564,1,yes
590,1448,0,2.409267,523.515282,1,yes
592,1448,0,2.409267,525.105704,1,yes
592,1448,0,2.324409,529.274754,1,yes
588,1460,0,2.324409,527.090125,1,yes
979.591837,1448,0.693878,1.885085,732.986146,1,yes
600,1448,0,2.245099,539.738208,1,yes
973.037037,1408,0.611111,1.884462,742.086791,1,yes
1086.579235,1448,0.565574,1.953399,777.813722,1,yes
647.111111,1448,0.111111,2.499544,560.02861,1,yes
977.882353,1448,0.617647,1.970557,741.581192,1,yes
1024.290909,1460,0.754545,1.71741,744.212003,1,yes
588,1440,0,2.139836,529.072144,1,yes
594,1460,0,2.170951,538.801008,1,yes
1055.536232,1460,0.909823,1.320854,748.970061,1,yes
592,1448,0,2.170951,536.223049,1,yes
1087.709531,2896,0.747352,1.689691,778.63492,1,yes
771.692308,1056,0.538462,1.973447,631.00552,1,yes
686.4,1056,0.4,2.140361,575.65937,1,yes
592,1448,0,2.409267,525.105704,1,yes
477.714286,784,0,2.306891,403.106769,1,yes
555.636364,1448,0,2.366079,472.222708,1,yes
594,1448,0,2.5,521.928731,1,yes
588,1448,0,2.245099,529.696769,1,yes
716.444444,1448,0,2.319241,601.512186,1,yes
1038.953642,1402,0.456954,2.213559,734.273785,1,yes
592,1448,0,2.245099,532.953198,1,yes
475.428571,768,0,2.306891,400.706548,1,yes
1055.448276,1448,0.494253,2.110142,781.476178,1,yes
602.222222,1460,0,2.394281,522.29066,1,yes
594,1448,0,2.245099,534.61575,1,yes
631.111111,1448,0,2.319241,551.54188,1,yes
592,1448,0,2.245099,532.953198,1,yes
596,1448,0,2.409267,528.364458,1,yes
999.138462,1448,0.584615,1.976918,748.859421,1,yes
619.636364,1402,0,2.305321,514.296926,1,yes
596,1400,0,2.460964,501.964142,1,yes
592,1448,0,2.409267,525.105704,1,yes
978.333333,1448,0.729167,1.78135,727.460996,1,yes
592,1448,0,2.409267,525.105704,1,yes
594,1460,0,2.5,523.098461,1,yes
1000.533333,1424,0,2.436605,731.520563,1,yes
980.571429,1448,0.612245,2.002337,737.735113,1,yes
981.76,1460,0.76,1.744984,727.779271,1,yes
622,1448,0,2.324409,556.317726,1,yes
1055.561644,1448,0.869863,1.426853,748.75302,1,yes
973.511111,1452,0.777778,1.720885,719.480892,1,yes
588,1448,0,2.324409,526.065977,1,yes
604.444444,1448,0,2.319241,527.538184,1,yes
1027.478261,1448,0.76087,1.754275,741.11606,1,yes
970.046512,1448,0.651163,2.001239,721.370668,1,yes
1000.533333,1424,0,2.436605,731.520563,1,yes
594,1448,0,2.409267,526.722175,1,yes
590,1448,0,2.409267,523.515282,1,yes
592,1460,0,2.5,521.513694,1,yes
1013.023256,1452,0.651163,1.891518,747.172636,1,yes
592,1448,0,2.245099,532.953198,1,yes
1050.341463,1460,0.670732,1.897231,760.05453,1,yes
718.545455,1448,0.272727,2.584024,586.95879,1,yes
973.454545,1448,0.727273,1.825303,722.194869,1,yes
352,464,0,1.35678,313.806735,1,yes
588,1056,0.25,2.29162,503.500745,1,yes
594,1460,0,2.245099,535.567612,1,yes
